,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
Mazda RX4,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Mazda RX4 Wag,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Datsun 710,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Hornet 4 Drive,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Hornet Sportabout,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Valiant,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Duster 360,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 240D,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Cadillac Fleetwood,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Lincoln Continental,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Chrysler Imperial,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Dodge Challenger,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
AMC Javelin,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Camaro Z28,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Pontiac Firebird,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Fiat X1-9,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Porsche 914-2,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Ford Pantera L,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Ferrari Dino,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Maserati Bora,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Volvo 142E,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Ferrari Dino_gen0,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 280C_gen1,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Pontiac Firebird_gen2,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Merc 450SLC_gen3,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Porsche 914-2_gen4,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Toyota Corona_gen5,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Merc 230_gen6,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 450SE_gen7,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Duster 360_gen8,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Lotus Europa_gen9,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Fiat 128_gen10,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Lincoln Continental_gen11,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Datsun 710_gen12,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Pontiac Firebird_gen13,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Honda Civic_gen14,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Valiant_gen15,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Toyota Corolla_gen16,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 280C_gen17,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Volvo 142E_gen18,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 280C_gen19,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Maserati Bora_gen20,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Pontiac Firebird_gen21,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Volvo 142E_gen22,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
AMC Javelin_gen23,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Datsun 710_gen24,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Fiat 128_gen25,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Lotus Europa_gen26,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Merc 240D_gen27,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Fiat X1-9_gen28,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Fiat 128_gen29,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Lincoln Continental_gen30,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Chrysler Imperial_gen31,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Lotus Europa_gen32,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Ferrari Dino_gen33,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Chrysler Imperial_gen34,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Merc 450SL_gen35,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 240D_gen36,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Merc 230_gen37,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 230_gen38,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Chrysler Imperial_gen39,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Datsun 710_gen40,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Fiat X1-9_gen41,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Merc 280_gen42,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Camaro Z28_gen43,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Camaro Z28_gen44,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 450SLC_gen45,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Volvo 142E_gen46,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Toyota Corolla_gen47,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Duster 360_gen48,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Honda Civic_gen49,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 450SE_gen50,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
AMC Javelin_gen51,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Merc 450SL_gen52,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Duster 360_gen53,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 280C_gen54,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Lotus Europa_gen55,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Volvo 142E_gen56,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Hornet Sportabout_gen57,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Ferrari Dino_gen58,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Porsche 914-2_gen59,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Lotus Europa_gen60,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Dodge Challenger_gen61,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Porsche 914-2_gen62,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Lincoln Continental_gen63,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Camaro Z28_gen64,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 450SE_gen65,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Mazda RX4_gen66,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Mazda RX4_gen67,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Datsun 710_gen68,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Fiat X1-9_gen69,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Lotus Europa_gen70,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Fiat 128_gen71,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Merc 280C_gen72,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
AMC Javelin_gen73,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Merc 240D_gen74,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Duster 360_gen75,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Toyota Corolla_gen76,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Volvo 142E_gen77,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Cadillac Fleetwood_gen78,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Toyota Corona_gen79,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
AMC Javelin_gen80,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Hornet Sportabout_gen81,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Pontiac Firebird_gen82,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Merc 450SLC_gen83,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Maserati Bora_gen84,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Cadillac Fleetwood_gen85,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Ferrari Dino_gen86,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 230_gen87,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 280C_gen88,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 230_gen89,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Hornet 4 Drive_gen90,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
AMC Javelin_gen91,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Porsche 914-2_gen92,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 450SE_gen93,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Lotus Europa_gen94,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Merc 240D_gen95,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Honda Civic_gen96,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Ferrari Dino_gen97,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Valiant_gen98,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Maserati Bora_gen99,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Hornet 4 Drive_gen100,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Ferrari Dino_gen101,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Toyota Corolla_gen102,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Toyota Corolla_gen103,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Pontiac Firebird_gen104,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Merc 450SE_gen105,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 240D_gen106,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Lincoln Continental_gen107,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Datsun 710_gen108,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Dodge Challenger_gen109,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Duster 360_gen110,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Dodge Challenger_gen111,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Toyota Corolla_gen112,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Hornet Sportabout_gen113,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Porsche 914-2_gen114,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Fiat X1-9_gen115,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
AMC Javelin_gen116,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Lotus Europa_gen117,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Merc 450SLC_gen118,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Valiant_gen119,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Mazda RX4 Wag_gen120,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Merc 450SE_gen121,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 280_gen122,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
AMC Javelin_gen123,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Merc 240D_gen124,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Fiat 128_gen125,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Volvo 142E_gen126,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 280C_gen127,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 450SLC_gen128,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Merc 450SE_gen129,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Ferrari Dino_gen130,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Cadillac Fleetwood_gen131,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Toyota Corona_gen132,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Porsche 914-2_gen133,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Hornet Sportabout_gen134,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Ferrari Dino_gen135,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Dodge Challenger_gen136,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Cadillac Fleetwood_gen137,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Lincoln Continental_gen138,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Valiant_gen139,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Merc 240D_gen140,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Honda Civic_gen141,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Duster 360_gen142,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 450SLC_gen143,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Toyota Corona_gen144,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Pontiac Firebird_gen145,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Fiat X1-9_gen146,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Maserati Bora_gen147,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Hornet 4 Drive_gen148,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Ford Pantera L_gen149,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Ford Pantera L_gen150,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Lotus Europa_gen151,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Duster 360_gen152,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Valiant_gen153,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Merc 450SLC_gen154,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Chrysler Imperial_gen155,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Honda Civic_gen156,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Mazda RX4_gen157,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Datsun 710_gen158,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Fiat X1-9_gen159,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Duster 360_gen160,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 280_gen161,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Lincoln Continental_gen162,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Duster 360_gen163,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Duster 360_gen164,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Cadillac Fleetwood_gen165,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SL_gen166,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Hornet 4 Drive_gen167,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Valiant_gen168,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Ford Pantera L_gen169,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Honda Civic_gen170,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Fiat X1-9_gen171,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Honda Civic_gen172,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Volvo 142E_gen173,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Valiant_gen174,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Merc 450SE_gen175,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Mazda RX4_gen176,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Merc 280_gen177,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Fiat X1-9_gen178,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
AMC Javelin_gen179,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Mazda RX4 Wag_gen180,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Pontiac Firebird_gen181,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Fiat 128_gen182,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Ferrari Dino_gen183,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 230_gen184,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Fiat X1-9_gen185,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Toyota Corona_gen186,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Volvo 142E_gen187,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Volvo 142E_gen188,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 240D_gen189,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Ford Pantera L_gen190,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Toyota Corolla_gen191,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Maserati Bora_gen192,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Fiat 128_gen193,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Toyota Corolla_gen194,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Hornet 4 Drive_gen195,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Camaro Z28_gen196,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 450SE_gen197,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Cadillac Fleetwood_gen198,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SLC_gen199,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Fiat X1-9_gen200,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Cadillac Fleetwood_gen201,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 230_gen202,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Ford Pantera L_gen203,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Fiat X1-9_gen204,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Merc 280_gen205,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Fiat X1-9_gen206,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Camaro Z28_gen207,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Ferrari Dino_gen208,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Dodge Challenger_gen209,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Lotus Europa_gen210,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Lotus Europa_gen211,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Lincoln Continental_gen212,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 450SE_gen213,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Datsun 710_gen214,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Porsche 914-2_gen215,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Ford Pantera L_gen216,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 450SL_gen217,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 280C_gen218,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Ferrari Dino_gen219,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Hornet 4 Drive_gen220,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Datsun 710_gen221,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Lincoln Continental_gen222,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Ferrari Dino_gen223,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Porsche 914-2_gen224,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Chrysler Imperial_gen225,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Chrysler Imperial_gen226,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Toyota Corona_gen227,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Fiat X1-9_gen228,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Lotus Europa_gen229,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
