,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
Merc 450SE_gen743,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Merc 450SL_gen744,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 230_gen745,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Porsche 914-2_gen746,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Ford Pantera L_gen747,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Ford Pantera L_gen748,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 240D_gen749,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
AMC Javelin_gen750,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Toyota Corona_gen751,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Ford Pantera L_gen752,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Cadillac Fleetwood_gen753,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
AMC Javelin_gen754,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Toyota Corona_gen755,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Hornet Sportabout_gen756,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 450SL_gen757,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Ferrari Dino_gen758,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Porsche 914-2_gen759,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Hornet Sportabout_gen760,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Ford Pantera L_gen761,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Camaro Z28_gen762,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Lotus Europa_gen763,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Toyota Corona_gen764,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Merc 450SL_gen765,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Maserati Bora_gen766,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Merc 240D_gen767,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Hornet 4 Drive_gen768,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Merc 280C_gen769,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Dodge Challenger_gen770,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Mazda RX4 Wag_gen771,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
AMC Javelin_gen772,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Lincoln Continental_gen773,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Hornet 4 Drive_gen774,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Toyota Corona_gen775,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Merc 450SL_gen776,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Ferrari Dino_gen777,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Hornet 4 Drive_gen778,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Camaro Z28_gen779,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Maserati Bora_gen780,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Honda Civic_gen781,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 240D_gen782,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Mazda RX4 Wag_gen783,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Lincoln Continental_gen784,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Maserati Bora_gen785,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Valiant_gen786,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Fiat 128_gen787,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Merc 450SE_gen788,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Lincoln Continental_gen789,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Fiat 128_gen790,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Toyota Corona_gen791,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Duster 360_gen792,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 280_gen793,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
AMC Javelin_gen794,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Mazda RX4_gen795,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Dodge Challenger_gen796,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
Camaro Z28_gen797,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Ford Pantera L_gen798,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 450SLC_gen799,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Merc 240D_gen800,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Maserati Bora_gen801,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Merc 280_gen802,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Volvo 142E_gen803,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 240D_gen804,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Toyota Corolla_gen805,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 450SLC_gen806,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Merc 230_gen807,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 280_gen808,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Cadillac Fleetwood_gen809,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Datsun 710_gen810,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Merc 280C_gen811,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 240D_gen812,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Fiat X1-9_gen813,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Lincoln Continental_gen814,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Datsun 710_gen815,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Camaro Z28_gen816,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Camaro Z28_gen817,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Maserati Bora_gen818,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Valiant_gen819,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Dodge Challenger_gen820,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
AMC Javelin_gen821,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Honda Civic_gen822,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 230_gen823,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Ferrari Dino_gen824,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Toyota Corona_gen825,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Porsche 914-2_gen826,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 230_gen827,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Ferrari Dino_gen828,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 280C_gen829,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Porsche 914-2_gen830,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 280_gen831,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Ferrari Dino_gen832,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 240D_gen833,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Porsche 914-2_gen834,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 230_gen835,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Volvo 142E_gen836,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Chrysler Imperial_gen837,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Lincoln Continental_gen838,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Toyota Corolla_gen839,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 450SE_gen840,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Ford Pantera L_gen841,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Valiant_gen842,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Fiat X1-9_gen843,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Toyota Corona_gen844,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Cadillac Fleetwood_gen845,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Fiat X1-9_gen846,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Merc 450SLC_gen847,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Chrysler Imperial_gen848,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Camaro Z28_gen849,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Mazda RX4_gen850,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Ford Pantera L_gen851,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Merc 450SL_gen852,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Ford Pantera L_gen853,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Chrysler Imperial_gen854,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Toyota Corona_gen855,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Maserati Bora_gen856,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Merc 280_gen857,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Maserati Bora_gen858,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Merc 450SLC_gen859,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Hornet 4 Drive_gen860,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Volvo 142E_gen861,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 280C_gen862,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Chrysler Imperial_gen863,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Maserati Bora_gen864,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Hornet Sportabout_gen865,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Volvo 142E_gen866,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
Merc 230_gen867,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Cadillac Fleetwood_gen868,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Cadillac Fleetwood_gen869,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Lotus Europa_gen870,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Hornet Sportabout_gen871,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
Merc 280C_gen872,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Porsche 914-2_gen873,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Toyota Corolla_gen874,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 280_gen875,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Mazda RX4 Wag_gen876,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Ford Pantera L_gen877,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Honda Civic_gen878,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Lotus Europa_gen879,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Lincoln Continental_gen880,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 450SLC_gen881,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Camaro Z28_gen882,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Duster 360_gen883,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Mazda RX4 Wag_gen884,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Pontiac Firebird_gen885,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Ferrari Dino_gen886,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Maserati Bora_gen887,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Mazda RX4_gen888,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
AMC Javelin_gen889,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Datsun 710_gen890,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Datsun 710_gen891,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Cadillac Fleetwood_gen892,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Camaro Z28_gen893,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Lotus Europa_gen894,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Merc 450SE_gen895,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
AMC Javelin_gen896,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Duster 360_gen897,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Lotus Europa_gen898,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Datsun 710_gen899,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Camaro Z28_gen900,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 280C_gen901,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Cadillac Fleetwood_gen902,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SL_gen903,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Pontiac Firebird_gen904,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Merc 230_gen905,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Merc 450SL_gen906,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Honda Civic_gen907,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Merc 280_gen908,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Ferrari Dino_gen909,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Lincoln Continental_gen910,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 240D_gen911,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Mazda RX4 Wag_gen912,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Cadillac Fleetwood_gen913,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Maserati Bora_gen914,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Hornet 4 Drive_gen915,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Porsche 914-2_gen916,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Toyota Corolla_gen917,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Mazda RX4_gen918,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Pontiac Firebird_gen919,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Merc 280_gen920,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Volvo 142E_gen921,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
AMC Javelin_gen922,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
Toyota Corolla_gen923,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 280_gen924,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Chrysler Imperial_gen925,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Valiant_gen926,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Duster 360_gen927,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Merc 280C_gen928,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Cadillac Fleetwood_gen929,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Mazda RX4 Wag_gen930,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Merc 450SE_gen931,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Pontiac Firebird_gen932,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Chrysler Imperial_gen933,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Fiat X1-9_gen934,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Merc 450SL_gen935,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Merc 450SE_gen936,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Camaro Z28_gen937,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Toyota Corolla_gen938,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Merc 280_gen939,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Toyota Corolla_gen940,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Ford Pantera L_gen941,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Lincoln Continental_gen942,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 240D_gen943,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Maserati Bora_gen944,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Mazda RX4 Wag_gen945,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Camaro Z28_gen946,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Datsun 710_gen947,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Honda Civic_gen948,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Camaro Z28_gen949,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Maserati Bora_gen950,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Merc 450SLC_gen951,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Mazda RX4 Wag_gen952,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Fiat X1-9_gen953,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
Toyota Corona_gen954,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Merc 280C_gen955,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Merc 280C_gen956,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Valiant_gen957,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Porsche 914-2_gen958,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Merc 240D_gen959,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
Datsun 710_gen960,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Chrysler Imperial_gen961,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Mazda RX4 Wag_gen962,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Merc 230_gen963,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Ferrari Dino_gen964,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Merc 280C_gen965,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Ferrari Dino_gen966,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Mazda RX4 Wag_gen967,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Merc 450SLC_gen968,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Valiant_gen969,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
Ford Pantera L_gen970,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
Cadillac Fleetwood_gen971,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
Merc 450SLC_gen972,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Pontiac Firebird_gen973,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
Maserati Bora_gen974,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
Mazda RX4 Wag_gen975,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Chrysler Imperial_gen976,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
Merc 280C_gen977,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Ferrari Dino_gen978,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Mazda RX4_gen979,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
Honda Civic_gen980,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Mazda RX4 Wag_gen981,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Duster 360_gen982,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
Toyota Corona_gen983,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Lotus Europa_gen984,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Ferrari Dino_gen985,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Lincoln Continental_gen986,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Merc 280C_gen987,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Toyota Corona_gen988,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Camaro Z28_gen989,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Merc 450SLC_gen990,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
Datsun 710_gen991,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
Mazda RX4 Wag_gen992,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
Lincoln Continental_gen993,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
Hornet 4 Drive_gen994,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Ferrari Dino_gen995,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
Camaro Z28_gen996,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Camaro Z28_gen997,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
Hornet 4 Drive_gen998,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
Datsun 710_gen999,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
